,addtime,befores,content,country,forecast,id,importance,influence,nid,publish,publishtime,shorttime,time,type
0,1325860230,389.9,美国至12月30日当周EIA原油库存(万桶),美国,-100,1,3,利空,0,220.9,2017/03/01 23:30:00,12年1月6,2012年1月6日,1
1,1326292230,220.9,美国至1月6日当周EIA原油库存(万桶),美国,100,2,3,利空,0,495.8,2017/03/01 23:30:00,12年1月11,2012年1月11日,1
2,1327069830,495.8,美国至1月13日当周EIA原油库存(万桶),美国,300,3,3,利多,0,-343.8,2017/03/01 23:30:00,12年1月20,2012年1月20日,1
3,1327501830,-343.8,美国至1月20日当周EIA原油库存(万桶),美国,145,4,3,利空,0,355.8,2017/03/01 23:30:00,12年1月25,2012年1月25日,1
4,1328106630,355.8,美国至1月27日当周EIA原油库存(万桶),美国,260,5,3,利空,0,417.5,2017/03/01 23:30:00,12年2月1,2012年2月1日,1
5,1328711430,417.5,美国至2月3日当周EIA原油库存(万桶),美国,250,6,3,利多,0,30.4,2017/03/01 23:30:00,12年2月8,2012年2月8日,1
6,1329316230,30.4,美国至2月10日当周EIA原油库存(万桶),美国,150,7,3,利多,0,-17.1,2017/03/01 23:30:00,12年2月15,2012年2月15日,1
7,1330093830,-17.1,美国至2月17日当周EIA原油库存(万桶),美国,135,8,3,利空,0,163.3,2017/03/01 23:30:00,12年2月24,2012年2月24日,1
8,1330525830,163.3,美国至2月24日当周EIA原油库存(万桶),美国,110,9,3,利空,0,416,2017/03/01 23:30:00,12年2月29,2012年2月29日,1
9,1331130630,416,美国至3月2日当周EIA原油库存(万桶),美国,150,10,3,利多,0,83.2,2017/03/01 23:30:00,12年3月7,2012年3月7日,1
10,1331735430,83.2,美国至3月9日当周EIA原油库存(万桶),美国,160,11,3,利空,0,175,2017/03/01 23:30:00,12年3月14,2012年3月14日,1
11,1332340230,175,美国至3月16日当周EIA原油库存(万桶),美国,220,12,3,利多,0,-116.2,2017/03/01 23:30:00,12年3月21,2012年3月21日,1
12,1332945030,-116.2,美国至3月23日当周EIA原油库存(万桶),美国,255,13,3,利空,0,710.2,2017/03/01 23:30:00,12年3月28,2012年3月28日,1
13,1333549830,710.2,美国至3月30日当周EIA原油库存(万桶),美国,250,14,3,利空,0,900.9,2017/03/01 23:30:00,12年4月4,2012年4月4日,1
14,1334154630,900.9,美国至4月6日当周EIA原油库存(万桶),美国,200,15,3,利空,0,279.1,2017/03/01 23:30:00,12年4月11,2012年4月11日,1
15,1334759430,279.1,美国至4月13日当周EIA原油库存(万桶),美国,180,16,3,利空,0,385.6,2017/03/01 23:30:00,12年4月18,2012年4月18日,1
16,1335364230,385.6,美国至4月20日当周EIA原油库存(万桶),美国,280,17,3,利空,0,397.8,2017/03/01 23:30:00,12年4月25,2012年4月25日,1
17,1335969030,397.8,美国至4月27日当周EIA原油库存(万桶),美国,250,18,3,利空,0,284,2017/03/01 23:30:00,12年5月2,2012年5月2日,1
18,1336573830,284,美国至5月4日当周EIA原油库存(万桶),美国,200,19,3,利空,0,365.2,2017/03/01 23:30:00,12年5月9,2012年5月9日,1
