,before,date,effect,forecast,reality,state,time,title
0,952.7,2017-02-24,金银 石油|美元|,325,56.4,美国,00:00,2月17日当周EIA原油库存
1,1383,2017-02-15,美元|金银 石油|,350,952.7,美国,23:30,2月10日当周EIA原油库存
2,646.6,2017-02-08,美元|金银 石油|,250,1383,美国,23:30,2月3日当周EIA原油库存
3,284,2017-02-01,美元|金银 石油|,300,646.6,美国,23:30,1月27日当周EIA原油库存
4,234.7,2017-01-25,美元|金银 石油|,250,284,美国,23:30,1月20日当周EIA原油库存
5,409.7,2017-01-20,美元|金银 石油|,-100,234.7,美国,00:00,1月13日当周EIA原油库存
6,-705.1,2017-01-11,美元|金银 石油|,150,409.7,美国,23:30,1月6日当周EIA原油库存
7,61.4,2017-01-06,金银 石油|美元|,-200,-705.1,美国,00:00,12月30日当周EIA原油库存
8,225.6,2016-12-30,美元|金银 石油|,-150,61.4,美国,00:00,12月23日当周EIA原油库存
9,-256.3,2016-12-21,美元|金银 石油|,-250,225.6,美国,23:30,12月16日当周EIA原油库存
10,-238.9,2016-12-14,金银 石油|美元|,-150,-256.3,美国,23:30,12月9日当周EIA原油库存
11,-88.4,2016-12-07,金银 石油|美元|,-150,-238.9,美国,23:30,12月2日当周EIA原油库存
12,-125.5,2016-11-30,金银 石油|美元|,150,-88.4,美国,23:30,11月25日当周EIA原油库存
13,527.4,2016-11-23,金银 石油|美元|,100,-125.5,美国,23:30,11月18日当周EIA原油库存
14,243.2,2016-11-16,美元|金银 石油|,148,527.4,美国,23:30,11月11日当周EIA原油库存
15,1442,2016-11-09,美元|金银 石油|,200,243.2,美国,23:30,11月4日当周EIA原油库存
16,-55.3,2016-11-02,美元|金银 石油|,200,1442,美国,22:30,10月28日当周EIA原油库存
17,-524.7,2016-10-26,金银 石油|美元|,200,-55.3,美国,22:30,10月21日当周EIA原油库存
18,485,2016-10-19,金银 石油|美元|,210,-524.7,美国,22:30,10月14日当周EIA原油库存
19,-297.6,2016-10-13,美元|金银 石油|,200,485,美国,23:00,10月7日当周EIA原油库存
20,-188.2,2016-10-05,金银 石油|美元|,150,-297.6,美国,22:30,9月30日当周EIA原油库存
21,-620,2016-09-28,金银 石油|美元|,300,-188.2,美国,22:30,9月23日当周EIA原油库存
22,-55.9,2016-09-21,金银 石油|美元|,325,-620,美国,22:30,9月16日当周EIA原油库存
23,-1451.3,2016-09-14,金银 石油|美元|,400,-55.9,美国,22:30,9月9日当周EIA原油库存
24,227.6,2016-09-08,金银 石油|美元|,90.5,-1451.3,美国,23:00,9月2日当周EIA原油库存
25,250.1,2016-08-31,美元|金银 石油|,130,227.6,美国,22:30,8月26日当周EIA原油库存
26,-250.8,2016-08-24,美元|金银 石油|,-85,250.1,美国,22:30,8月19日当周EIA原油库存
27,105.5,2016-08-17,金银 石油|美元|,95,-250.8,美国,22:30,8月12日当周EIA原油库存
28,141.3,2016-08-10,美元|金银 石油|,-150,105.5,美国,22:30,8月5日当周EIA原油库存
29,167.1,2016-08-03,美元|金银 石油|,-175,141.3,美国,22:30,7月29日当周EIA原油库存
30,-234.2,2016-07-27,美元|金银 石油|,-200,167.1,美国,22:30,7月22日当周EIA原油库存
31,-254.6,2016-07-20,金银 石油|美元|,-200,-234.2,美国,22:30,7月15日当周EIA原油库存
32,-222.3,2016-07-13,美元|金银 石油|,-300,-254.6,美国,22:30,7月8日当周EIA原油库存
33,-405.3,2016-07-07,美元|金银 石油|,-250,-222.3,美国,23:00,7月1日当周EIA原油库存
34,-91.7,2016-06-29,金银 石油|美元|,-250,-405.3,美国,22:30,6月24日当周EIA原油库存
35,-93.3,2016-06-22,美元|金银 石油|,-150,-91.7,美国,22:30,6月17日当周EIA原油库存
36,-322.6,2016-06-15,美元|金银 石油|,-232.5,-93.3,美国,22:30,6月10日当周EIA原油库存
37,-136.6,2016-06-08,金银 石油|美元|,-300,-322.6,美国,22:30,6月3日当周EIA原油库存
38,-422.6,2016-06-02,美元|金银 石油|,-250,-136.6,美国,23:00,5月27日当周EIA原油库存
39,131,2016-05-25,金银 石油|美元|,-200,-422.6,美国,22:30,5月20日当周EIA原油库存
40,-341,2016-05-18,美元|金银 石油|,-350,131,美国,22:30,5月13日当周EIA原油库存
41,278.4,2016-05-11,金银 石油|美元|,75,-341,美国,22:30,5月6日当周EIA原油库存
42,199.9,2016-05-04,美元|金银 石油|,75,278.4,美国,22:30,4月29日当周EIA原油库存
43,208,2016-04-27,美元|金银 石油|,175,199.9,美国,22:30,4月22日当周EIA原油库存
44,663.4,2016-04-20,金银 石油|美元|,300,208,美国,22:30,4月15日当周EIA原油库存
45,-493.7,2016-04-13,美元|金银 石油|,100,663.4,美国,22:30,4月8日当周EIA原油库存
46,229.9,2016-04-06,金银 石油|美元|,285,-493.7,美国,22:30,4月1日当周EIA原油库存
